프로그램,언급공고수,언급비율%,모건스탠리,외국계IBD,증권사,데이터애널리스트,퀀트
Excel,51,14.3,1,22,3,18,7
Python,43,12.0,0,1,0,23,19
SQL,34,9.5,0,2,2,26,4
Tableau,16,4.5,0,1,2,12,1
PowerPoint,13,3.6,0,8,0,3,2
PyTorch,10,2.8,0,0,0,1,9
Spark,10,2.8,0,0,0,7,3
AWS,10,2.8,0,0,0,5,5
Git,10,2.8,0,0,1,3,6
Airflow,10,2.8,0,0,2,6,2
Power BI,9,2.5,0,1,0,7,1
GCP,7,2.0,0,0,0,5,2
BigQuery,6,1.7,0,0,0,5,1
Hadoop,6,1.7,0,0,2,4,0
C++,6,1.7,0,0,2,0,4
Kafka,5,1.4,0,0,0,5,0
TensorFlow,5,1.4,0,0,0,1,4
Docker,5,1.4,0,0,0,3,2
Snowflake,5,1.4,0,0,0,5,0
Java,4,1.1,0,0,1,0,3
R,4,1.1,0,1,0,1,2
Linux,4,1.1,0,0,1,1,2
Looker,4,1.1,0,0,0,3,1
Databricks,3,0.8,0,0,0,2,1
pandas/NumPy,3,0.8,0,0,0,1,2
JavaScript,3,0.8,0,0,1,2,0
VBA,2,0.6,0,2,0,0,0
SAS,2,0.6,0,1,0,0,1
Azure,2,0.6,0,0,0,1,1
scikit-learn,2,0.6,0,0,0,1,1
Capital IQ,1,0.3,0,0,0,0,1
DART/공시,1,0.3,0,0,1,0,0
Refinitiv/Eikon,1,0.3,0,0,0,0,1
Scala,1,0.3,0,0,0,0,1
MATLAB,1,0.3,0,0,0,0,1
SPSS,1,0.3,0,1,0,0,0
C#,1,0.3,0,0,0,0,1
Kubernetes,1,0.3,0,0,0,0,1
Jira/Confluence,1,0.3,0,0,0,0,1
