검색어,공고 이름,회사 이름,회사 위치,연봉,경력/학력,근무형태,게시일,마감일,링크,직군
IB,[인센티브/프로모션 무제한] 롯데카드 IB상담 고객센터 AG3,(주)유베이스,부산 연제구 등,월급 220 만원 ~ 335 만원,신입/경력 학력무관,주5일,,2026-07-15,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51234141&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,IBD
IB,프리미엄 IB미디어 `딜북뉴스` 취재기자 채용,인프라와이드,서울 강남구,회사내규에 따름,경력1년 대졸(4년),주5일,,2026-08-08,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51223092&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,IBD
IB,2026년 대구교육대학교 산학협력단 기간제 계약직[IB교육글로벌허브...,,,회사내규에 따름,,,,2026-07-15,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=297556&infoTypeCd=GOJ&infoTypeGroup=tb_workinfonara,IBD
IB,제지산업 IBS Austria GmbH 기계 서비스 엔지니어,지성티엔에스,서울 광진구,회사내규에 따름,경력무관 대졸(2~3년),,,2099-01-01,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54399051&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,IBD
IB,IB몬테소리교육연구소 영어 교수부장(교육연구원) 채용,아이비몬테소리교육연구소,경기 과천시,월급 350 만원 ~ 350 만원,경력무관 대졸(4년),,,2026-08-05,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54381961&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,IBD
IB,압구정 플래티넘 SAT/AP/IB 전문 어학원 평일 오후 행정 TA...,플래티넘아카데미어학원,서울 강남구,"시급 11,000 원 ~ 11,000 원",경력무관 고졸,주5일,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54370470&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,IBD
IB,"용인 역북동/어학원/초,중 영어 writing / IB선생님 채용안...",탑잉글리쉬어학원,경기 용인시 기흥구 등,회사내규에 따름,경력무관 대졸(4년),기타,,2026-07-19,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54366008&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,IBD
IB,[IBS인더스트리] 한섬이천이비즈물류센터 경비(격일제) 모집,(주)아이비에스인더스트리,경기도 이천시 프리미엄아울렛로,월급 269 만원 ~ 269 만원,경력1년 고졸,주4일 주 35시간 근로,,2026-08-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K120032607010018&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,IBD
IB,[배민] IB센터 신입 운영팀장 대규모 채용(송파구),㈜케이에스한국고용정보,서울 송파구,"연봉 3,000 만원 ~ 3,500 만원",경력무관 학력무관,기타,,2026-07-30,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51165712&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,IBD
IB,압구정 플래티넘 SAT/AP/IB 전문 어학원 주말 행정 TA 모집,플래티넘아카데미어학원,서울 강남구,"시급 11,000 원 ~ 11,000 원",경력무관 고졸,,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54302347&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,IBD
